,sepal length (q=2),sepal width (q=2),petal length (q=2),petal width (q=2)
0,0,1,0,0
1,0,0,0,0
2,0,1,0,0
3,0,1,0,0
4,0,1,0,0
5,0,1,0,0
6,0,1,0,0
7,0,1,0,0
8,0,0,0,0
9,0,1,0,0
10,0,1,0,0
11,0,1,0,0
12,0,0,0,0
13,0,0,0,0
14,0,1,0,0
15,0,1,0,0
16,0,1,0,0
17,0,1,0,0
18,0,1,0,0
19,0,1,0,0
20,0,1,0,0
21,0,1,0,0
22,0,1,0,0
23,0,1,0,0
24,0,1,0,0
25,0,0,0,0
26,0,1,0,0
27,0,1,0,0
28,0,1,0,0
29,0,1,0,0
30,0,1,0,0
31,0,1,0,0
32,0,1,0,0
33,0,1,0,0
34,0,1,0,0
35,0,1,0,0
36,0,1,0,0
37,0,1,0,0
38,0,0,0,0
39,0,1,0,0
40,0,1,0,0
41,0,0,0,0
42,0,1,0,0
43,0,1,0,0
44,0,1,0,0
45,0,0,0,0
46,0,1,0,0
47,0,1,0,0
48,0,1,0,0
49,0,1,0,0
50,1,1,1,1
51,1,1,1,1
52,1,1,1,1
53,0,0,0,0
54,1,0,1,1
55,0,0,1,0
56,1,1,1,1
57,0,0,0,0
58,1,0,1,0
59,0,0,0,1
60,0,0,0,0
61,1,0,0,1
62,1,0,0,0
63,1,0,1,1
64,0,0,0,0
65,1,1,1,1
66,0,0,1,1
67,0,0,0,0
68,1,0,1,1
69,0,0,0,0
70,1,1,1,1
71,1,0,0,0
72,1,0,1,1
73,1,0,1,0
74,1,0,0,0
75,1,0,1,1
76,1,0,1,1
77,1,0,1,1
78,1,0,1,1
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,1,0,1,1
84,0,0,1,1
85,1,1,1,1
86,1,1,1,1
87,1,0,1,0
88,0,0,0,0
89,0,0,0,0
90,0,0,1,0
91,1,0,1,1
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,0,0,0,0
97,1,0,0,0
98,0,0,0,0
99,0,0,0,0
100,1,1,1,1
101,0,0,1,1
102,1,0,1,1
103,1,0,1,1
104,1,0,1,1
105,1,0,1,1
106,0,0,1,1
107,1,0,1,1
108,1,0,1,1
109,1,1,1,1
110,1,1,1,1
111,1,0,1,1
112,1,0,1,1
113,0,0,1,1
114,0,0,1,1
115,1,1,1,1
116,1,0,1,1
117,1,1,1,1
118,1,0,1,1
119,1,0,1,1
120,1,1,1,1
121,0,0,1,1
122,1,0,1,1
123,1,0,1,1
124,1,1,1,1
125,1,1,1,1
126,1,0,1,1
127,1,0,1,1
128,1,0,1,1
129,1,0,1,1
130,1,0,1,1
131,1,1,1,1
132,1,0,1,1
133,1,0,1,1
134,1,0,1,1
135,1,0,1,1
136,1,1,1,1
137,1,1,1,1
138,1,0,1,1
139,1,1,1,1
140,1,1,1,1
141,1,1,1,1
142,0,0,1,1
143,1,1,1,1
144,1,1,1,1
145,1,0,1,1
146,1,0,1,1
147,1,0,1,1
148,1,1,1,1
149,1,0,1,1
