,sepal length (q=3),sepal width (q=3),petal length (q=3),petal width (q=3)
0,0,2,0,0
1,0,1,0,0
2,0,1,0,0
3,0,1,0,0
4,0,2,0,0
5,0,2,0,0
6,0,2,0,0
7,0,2,0,0
8,0,0,0,0
9,0,1,0,0
10,0,2,0,0
11,0,2,0,0
12,0,1,0,0
13,0,1,0,0
14,1,2,0,0
15,1,2,0,0
16,0,2,0,0
17,0,2,0,0
18,1,2,0,0
19,0,2,0,0
20,0,2,0,0
21,0,2,0,0
22,0,2,0,0
23,0,2,0,0
24,0,2,0,0
25,0,1,0,0
26,0,2,0,0
27,0,2,0,0
28,0,2,0,0
29,0,1,0,0
30,0,1,0,0
31,0,2,0,0
32,0,2,0,0
33,1,2,0,0
34,0,1,0,0
35,0,1,0,0
36,1,2,0,0
37,0,2,0,0
38,0,1,0,0
39,0,2,0,0
40,0,2,0,0
41,0,0,0,0
42,0,1,0,0
43,0,2,0,0
44,0,2,0,0
45,0,1,0,0
46,0,2,0,0
47,0,1,0,0
48,0,2,0,0
49,0,2,0,0
50,2,1,1,1
51,2,1,1,1
52,2,1,1,1
53,1,0,1,1
54,2,0,1,1
55,1,0,1,1
56,1,2,1,1
57,0,0,1,1
58,2,0,1,1
59,0,0,1,1
60,0,0,1,1
61,1,1,1,1
62,1,0,1,1
63,1,0,1,1
64,1,0,1,1
65,2,1,1,1
66,1,1,1,1
67,1,0,1,1
68,1,0,1,1
69,1,0,1,1
70,1,1,1,2
71,1,0,1,1
72,1,0,1,1
73,1,0,1,1
74,2,0,1,1
75,2,1,1,1
76,2,0,1,1
77,2,1,2,2
78,1,0,1,1
79,1,0,1,1
80,1,0,1,1
81,1,0,1,1
82,1,0,1,1
83,1,0,2,1
84,0,1,1,1
85,1,2,1,1
86,2,1,1,1
87,1,0,1,1
88,1,1,1,1
89,1,0,1,1
90,1,0,1,1
91,1,1,1,1
92,1,0,1,1
93,0,0,1,1
94,1,0,1,1
95,1,1,1,1
96,1,0,1,1
97,1,0,1,1
98,0,0,1,1
99,1,0,1,1
100,1,2,2,2
101,1,0,2,2
102,2,1,2,2
103,1,0,2,2
104,2,1,2,2
105,2,1,2,2
106,0,0,1,2
107,2,0,2,2
108,2,0,2,2
109,2,2,2,2
110,2,1,2,2
111,2,0,2,2
112,2,1,2,2
113,1,0,2,2
114,1,0,2,2
115,2,1,2,2
116,2,1,2,2
117,2,2,2,2
118,2,0,2,2
119,1,0,2,1
120,2,1,2,2
121,1,0,1,2
122,2,0,2,2
123,1,0,1,2
124,2,2,2,2
125,2,1,2,2
126,1,0,1,2
127,1,1,1,2
128,2,0,2,2
129,2,1,2,1
130,2,0,2,2
131,2,2,2,2
132,2,0,2,2
133,1,0,2,1
134,1,0,2,1
135,2,1,2,2
136,1,2,2,2
137,2,1,2,2
138,1,1,1,2
139,2,1,2,2
140,2,1,2,2
141,2,1,2,2
142,1,0,2,2
143,2,1,2,2
144,2,2,2,2
145,2,1,2,2
146,1,0,2,2
147,2,1,2,2
148,1,2,2,2
149,1,1,2,2
